title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
Margot at the Wedding	2007	R	17	91	Comedy; Drama	Noah Baumbach	Zane Pais; Susan Blackwell; Nicole Kidman; Jack Black	A slice of family life: sisters husbands children history secrets jealousies Margot and her teen son Claude travel from Manhattan to her familys Long Island home occupied by sister Pauline Paulines daughter and Malcolm the slacker Pauline will marry outdoors that week under a tree neighbors want removed Backbiting marks family discussion particularly between the sisters and in Margots cutting remarks to Claude Pauline tells Margot a secret that Margot promptly tells Claude Margot dislikes Malcolm and undermines him She also has marital problems and a lover nearby People are cruel inside and outside their families Is there a refuge for Margot or for Pauline?	English	USA	3 wins & 13 nominations	6.1	53	66	1929081	Paramount Vantage	16-Nov-07	2007	11	379522	90	349	23	10000	1959420	Paramount Vantage
Never Been Thawed	2005	R	17	87	Comedy	Sean Anders	Greg Behrendt; Kent Voss; Sean Anders; Mike Gordon	Shawn is the founder of the Mesa Frozen Entree Enthusiasts Club He has inspired this group of fanatical collectors to attempt to host the worlds first Frozen Entree Enthusiasts Convention Shawn also sings for a local punk band that has recently converted to Christian Rock as they find the Christian fans much easier to shock and impress Milo Binder a local Christian rock promoter and owner of an anti-abortion themed Christian cafe assisted the bands conversion As Shawn pursues the convention and Christian fame Al (the bass player) pursues Shelly Shelly is a mousy virgin whos infatuation with Shawn may be more than AL can overcome NBT is a dark edgy warts-and-all comedy that leaves nothing sacred	English	USA	N/A	6.1	58	41	N/A	N/A	7-Oct-05	2005	10	1413	0	6	0	35000	47219	Indican
I Used to Be Darker	2013	NOT RATED	17	89	Drama; Music	Matthew Porterfield	Deragh Campbell; Hannah Gross; Ned Oldham; Kim Taylor	When Taryn a Northern Irish runaway finds herself in trouble in Ocean City MD she seeks refuge with her aunt and uncle in Baltimore But Kim and Bill have problems of their own: theyre trying to handle the end of their marriage gracefully for the sake of their daughter Abby just home from her first year of college A story of family revelations people finding each other and letting each other go looking for love where theyve found it before and when that doesnt work figuring out where they might find it next	English	USA	1 win & 3 nominations	5.6	81	69	21964	Strand Releasing	4-Oct-13	2013	10	71656	5	81	7	42394	22214	Strand
Upstream Color	2013	NOT RATED	17	96	Drama; Sci-Fi	Shane Carruth	Amy Seimetz; Shane Carruth; Andrew Sensenig; Thiago Martins	Kris is attacked one night and hypnotized using a grub with hypnotic properties administered by a thief She follows the thiefs instructions to give him everything even taking out loans After the worms are extracted she wakes up to find her life ruined Shes lost her job her finances are destroyed Years later she meets Jeff whom she may have a lot in common with	English	USA	5 wins & 34 nominations	6.7	86	81	415067	Independent Pictures/Metrodome Dist.	5-Apr-13	2013	4	4160	3	82	0	50000	444098	erbp Film
Happy Christmas	2014	R	17	82	Comedy; Drama	Joe Swanberg	Anna Kendrick; Melanie Lynskey; Mark Webber; Lena Dunham	Irresponsible 20-something Jenny arrives in Chicago to live with her older brother Jeff a young film-maker living a happy existence with his novelist wife Kelly and their two-year-old son Jennys arrival shakes up their quiet domesticity as she and her friend Carson instigate an evolution in Kellys life and career Meanwhile Jenny strikes up a rocky relationship with the familys baby sitter-cum-pot dealer	English	USA	5 nominations	5.5	75	70	28853	Magnolia Pictures	25-Jul-14	2014	7	25687	31	399	9	70000	30312	Magnolia
A Ghost Story	2017	R	17	92	Drama; Fantasy; Romance	David Lowery	Casey Affleck; Rooney Mara; McColm Cephas Jr.; Kenneisha Thompson	In this singular exploration of legacy love loss and the enormity of existence a recently deceased white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife	English	USA	11 wins & 17 nominations	6.9	91	84	1594798	Ideaman Studios	7-Jul-17	2017	7	2913961	1439	15290	1083	100000	1596371	A24
The One I Love	2014	R	17	91	Drama; Fantasy; Romance	Charlie McDowell	Mark Duplass; Elisabeth Moss; Ted Danson; Kiana Cason	A troubled couple vacate to a beautiful getaway but bizarre circumstances further complicate their situation	English	USA	2 wins & 2 nominations	7.1	80	66	511635	Radius-TWC	22-Aug-14	2014	8	1705320	298	1910	198	100000	513447	Radius-TWC
Sound of My Voice	2011	R	17	85	Drama; Mystery; Sci-Fi	Zal Batmanglij	Christopher Denham; Nicole Vicius; Brit Marling; Davenia McFadden	Two documentary filmmakers are determined to expose the truth about Maggie the mysterious leader of a secretive cult who claims to belong to the year 2054 Although they believe that everything is nothing more than a fraud the filmmakers end up driven by her charisma	English	USA	1 win & 7 nominations	6.6	75	67	300000	20th Century Fox	27-Apr-12	2012	4	78037	11	145	9	135000	408015	Fox Searchlight
Another Earth	2011	PG-13	13	92	Drama; Romance; Sci-Fi	Mike Cahill	William Mapother; Brit Marling; Matthew-Lee Erlbach; DJ Flava	SPOILER: Seventeen year-old Rhoda Williams receives an acceptance letter from MIT and she celebrates with her friends On the same night a planet similar and close to Earth is discovered and called Earth 2 Rhoda drives her car looking at Earth 2 and crashes with composer John Burroughs killing his pregnant wife and his baby son Rhoda goes to prison and four years later she is released and moves to her parents house She finds a job as high-school janitor but tries to commit suicide She survives however and submits an essay to a contest where the prize is a ticket to travel to Earth 2 Meanwhile the scientists discover that Earth 2 is a mirror of Earth and the synchronicity between the dwellers was interrupted when the planets were seen by each other One day Rhoda decides to visit John Burroughs whose life was destroyed after the death of his family to admit to him that she had killed his family However she does not have the nerve to tell him the truth So she lies and tells him he has won a free cleaning service of his home Rhoda wins the writing contest but meanwhile John and she have fallen in love with each other Rhoda has to take a decision whether she goes or stays but she wants to tell John the truth first	English	USA	7 wins & 13 nominations	7	64	66	957752	Fox Searchlight Pictures	22-Jul-11	2011	7	3179154	1395	5759	407	175000	1321194	Fox Searchlight
Sleight	2016	R	17	89	Action; Drama; Sci-Fi	J.D. Dillard	Jacob Latimore; Seychelle Gabriel; Storm Reid; Donzaleigh Abernathy	A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing and turns to illegal activities to keep a roof over their heads When he gets in too deep his sister is kidnapped and he is forced to use his magic and brilliant mind to save her	English	USA	3 nominations	5.9	73	62	3847290	BH Tilt	28-Apr-17	2017	4	2452283	276	1638	184	250000	3986245	BH Tilt
The Canyons	2013	R	17	99	Drama; Thriller	Paul Schrader	Lindsay Lohan; James Deen; Nolan Gerard Funk; Amanda Brooks	When Christian an LA trust-fund kid with casual ties to Hollywood learns of a secret affair between Tara and the lead of his film project Ryan he spirals out of control and his cruel mind games escalate into an act of bloody violence	English	USA	2 wins & 2 nominations	3.9	22	36	31317	IFC Films	2-Aug-13	2013	8	1057434	141	499	120	250000	56825	IFC
Compliance	2012	R	17	90	Biography; Crime; Drama	Craig Zobel	Ann Dowd; Matt Servitto; Dreama Walker; Pat Healy	At a fast food restaurant the manager Sandra is having a bad day Suddenly she gets a phone call from a man claiming to be a police officer who has a complaint that one of her young female employees has stolen from a customer At the orders of this authoritative sounding stranger Sandra takes the apparent accused Becky to a back room to search her before she is picked up Once there the phone scammer manipulates the gullible personnel into participating in Beckys sexual humiliation that grows more twisted with every new sucker on the phone Only when one final person has the conscience to revolt do they realize the crime they were tricked into which the real police are hard pressed to solve	English	USA	7 wins & 34 nominations	6.4	89	68	318622	Magnolia Pictures	17-Aug-12	2012	8	194743	71	312	23	270000	319285	Magnolia
Murderball	2005	R	17	88	Documentary; Sport	Henry Alex Rubin; Dana Adam Shapiro	Joe Bishop; Keith Cavill; Andy Cohn; Scott Hogsett	Quad rugby as played by the US team between 2002 games in Sweden and the 2004 Paralympics in Athens Young men most with spinal injuries play this rough and tumble sport in special chairs seated gladiators We get to know several and their families They talk frankly about their injuries feelings in public sex lives competitiveness and love of the game Theres also an angry former team member gone north to coach the Canadian team tough on everyone including his viola-playing son We meet a recently injured man in rehab at times close to despair finding possible joy in quad rugby After Athens the team meets young men injured in war: the future stars of Team USA	English	USA	Nominated for 1 Oscar Another 17 wins & 12 nominations	7.8	98	87	1328551	ThinkFilm	8-Jul-05	2005	7	52637	8	52	1	350000	1531154	ThinkFilm
Blue Ruin	2013	R	17	90	Crime; Drama; Thriller	Jeremy Saulnier	Macon Blair; Ydaiber Orozco; Ronald Sarcos; Dani Santiago	A mysterious outsiders quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance Proving himself an amateur assassin he winds up in a brutal fight to protect his estranged family	English	USA; France	8 wins & 18 nominations	7.1	96	77	N/A	Radius-TWC	25-Apr-14	2014	4	57838	4	42	5	420000	258384	Radius-TWC
Brick	2005	R	17	110	Action; Crime; Drama	Rian Johnson	Joseph Gordon-Levitt; Nora Zehetner; Lukas Haas; Noah Fleiss	The lonely teenager Brendan finds his former girlfriend Emily dead in the entrance of a tunnel of sewage and recalls her phone call two days ago when she said to him that she was in trouble Brendan who still loved Emily met bad elements of his high-school trying to contact her and when he succeeded she told him that she was OK He hides her body in the tunnel and decides to investigate the meaning and connection of four words including brick and pin that Emily told him to find who killed her Using the support of his nerd friend Brain he successively meets the small time drug dealers Kara Dode Brad Bramish Laura and Tugger to reach the teenager powerful drug dealer The Pin Slowly Brendan unravels the motives why Emily was killed and plots a revenge	English	USA	11 wins & 23 nominations	7.4	79	72	1973180	Focus Features	31-Mar-06	2006	3	335137	214	1181	34	450000	2075743	Focus Features
Fireproof	2008	PG	7	122	Drama; Romance	Alex Kendrick	Kirk Cameron; Erin Bethea; Ken Bevel; Stephen Dervan	In Albany the marriage of Caleb and Catherine Holt is in crisis and they decide to divorce However Calebs father John proposes that his son delays their separation process for forty days and follow a procedure called The Love Dare to make them love each other again	English	USA	N/A	6.6	40	28	33451479	Sherwood Pictures	26-Sep-08	2008	9	32852		49	4	500000	33456317	Samuel Goldwyn
Drinking Buddies	2013	R	17	90	Comedy; Drama; Romance	Joe Swanberg	Olivia Wilde; Jake Johnson; Anna Kendrick; Ron Livingston	Luke and Kate are co-workers at a Chicago brewery where they spend their days drinking and flirting Theyre perfect for each other except that theyre both in relationships Luke is in the midst of marriage talks with his girlfriend of six years Kate is playing it cool with her music producer boyfriend Chris But you know what makes the line between friends and more than friends really blurry? Beer	English	USA	1 win & 3 nominations	6.1	83	71	200000	Magnolia Pictures	23-Aug-13	2013	8	5061231	777	7607	588	500000	343341	Magnolia
Lonesome Jim	2005	R	17	91	Comedy; Drama	Steve Buscemi	Casey Affleck; Kevin Corrigan; Mary Kay Place; Seymour Cassel	Jim is a young man who after deciding he cant make it on his own moves back to his hometown in Indiana -- under his parents roof Hes saved from his familys dysfunction by a local woman and her son who sees him as a father figure	English	USA	1 win & 3 nominations	6.6	60	54	N/A	IFC Films	24-Mar-06	2006	3	53227	27	83	2	500000	154187	IFC
Mad Hot Ballroom	2005	PG	7	105	Documentary; Family; Music	Marilyn Agrelo	Heather Berman; Emma Therese Biegacki; Eva Carrozza; Evangelina Carrozzo	Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way Told from their candid sometimes hilarious perspectives these kids are transformed from reluctant participants to determined competitors from typical urban kids to ladies and gentlemen on their way to try to compete in the final citywide competition Providing unique insight into the incredible cultural diversity that is New York City this film profiles several kids from three schools (out of 60) at this dynamic age when becoming that cool teenager vies for position with familiar innocence while they learn the merengue rumba tango the foxtrot and swing	English; Spanish	USA	8 wins & 9 nominations	7.5	84	71	7899271	Paramount Classics	13-May-05	2005	5	122687	52	127	6	500000	8117961	Paramount Classics
Beyond the Reach	2014	R	17	91	Thriller	Jean-Baptiste Léonetti	Michael Douglas; Jeremy Irvine; Hanna Mangan Lawrence; Ronny Cox	A high-rolling corporate shark and his impoverished young guide play the most dangerous game during a hunting trip in the Mojave Desert	English	USA	N/A	5.6	37	34	32050	Roadside Attractions	17-Apr-15	2015	4	32498				500000	45895	Roadside Attractions
Smashed	2012	R	17	81	Drama	James Ponsoldt	Mary Elizabeth Winstead; Aaron Paul; Nick Offerman; Megan Mullally	Kate and Charlie Hannah have a relationship well lubricated with alcohol but Kate finally finds her chemical appetites have gotten completely out of control With the help of an ex-addict friend at work Kate finds a support group that helps her begin to conquer her addictions However that recovery proves just part of a larger personal challenge to rebuild her life even as her marriage with her drunken husband deteriorates	English	USA	10 nominations	6.8	85	71	375981	Sony Pictures Classics	12-Oct-12	2012	10	121171	113	496	23	500000	376597	Sony Classics
Ballast	2008	NOT RATED	17	96	Drama	Lance Hammer	Micheal J. Smith Sr.; JimMyron Ross; Tarra Riggs; Johnny McPhail	A single mother and her embattled son struggle to subsist in a small Mississippi Delta township An act of violence thrusts them into the world of an emotionally devastated highway store owner awakening the fury of a bitter and longstanding conflict	English	USA	17 wins & 21 nominations	7	92	84	100000	Alluvial Film Company	1-Oct-08	2008	10	99962	50	80	15	700000	77556	Alluvial Film Company
Enron: The Smartest Guys in the Room	2005	NOT RATED	17	110	Documentary	Alex Gibney	John Beard; Tim Belden; Barbara Boxer; George W. Bush	Enron dives from the seventh largest US company to bankruptcy in less than a year in this tale told chronologically The emphasis is on human drama from suicide to 20000 people sacked: the personalities of Ken Lay (with Falwellesque rectitude) Jeff Skilling (he of big ideas) Lou Pai (gone with $250 M) and Andy Fastow (the dark prince) dominate Along the way we watch Enron game Californias deregulated electricity market get a free pass from Arthur Andersen (which okays the dubious mark-to-market accounting) use greed to manipulate banks and brokerages (Merrill Lynch fires the analyst who questions Enrons rise) and hear from both Presidents Bush what great guys these are	English	USA	Nominated for 1 Oscar Another 3 wins & 10 nominations	7.7	97	82	3886956	Magnolia Pictures	22-Apr-05	2005	4	228503	12	285	8	700000	4071700	Magnolia
Prince Avalanche	2013	R	17	94	Comedy; Drama	David Gordon Green	Paul Rudd; Emile Hirsch; Lance LeGault; Joyce Payne	After a rough time working a night shift job in the city Alvin is spending the summer on a remote two-man public works crew painting lines on newly paved roads through what is a recently wildfire-ravaged region of Texas He is camping along the way living off the land even doing so on his days off He is what he considers a responsible man earning and sending money to his girlfriend Madison a single mother so that she need not concern herself with anything besides child rearing The junior second that Alvin hires for his crew is Madisons brother Lance Alvins controlling and judgmental nature comes to the surface in his dealings with more immature and irresponsible Lance who goes back to the city on the weekends so that he can have his little man squeezed something he cannot understand in Alvin being without Madison or any woman for such a long stretch of time Alvin prefers to stay in the burnt out woods on the weekends as being alone with his thoughts and his chores - many which he considers his life lessons - he believes helps him think more clearly about life Although their lives are affected by the few people they meet along the way it is the aftermath of one of Lances weekends home that will forever change the nature of their relationship and their respective outlooks on life	English; German	USA	3 wins & 5 nominations	6.4	82	73	204951	Magnolia Pictures	9-Aug-13	2013	8	271375	156	817	77	725000	205139	Magnolia
Aqua Teen Hunger Force Colon Movie Film for Theaters	2007	R	17	86	Animation; Action; Adventure	Matt Maiellaro; Dave Willis	Dana Snyder; Carey Means; Dave Willis; Andy Merrill	The story begins in Egypt where Master Shake Frylock and Meatwad are being attacked by an oversize poodle who kills Frylock before being destroyed by Shake Shake and Meatwad drive off with Frylocks corpse and meet Time Lincoln who plans to revive Frylock however when the CIA break into his house the Aqua Teens flee in his wooden rocket ship and Time Lincoln is shot This however is all revealed to be an elaborate story concocted by Shake to explain the ATHFs origin to Meatwad Shake then explains to Meatwad that women are only attracted to great bodies then heads off to work out on his new exercise machine the Insane-O-Flex Together they go in search of a missing piece of an exercise machine that happens to be more than an exercise machine placing them on a collision course with the likes of Oglethorpe and Emory a pair of jagged ridiculous creatures from the future who travel with a robot companion claiming to be the Ghost of Christmas Past They also encounter Dr Weird a mad and evil scientist given to disguises and who seeks revenge against the Hunger Force McPee Pants a rapping spider who wears a shower cap and diaper and the hilarious Ignignokt and Err two-dimensional villains from the ancient days of Pokey Atari video games	English	USA	N/A	6.9	48	54	5431812	First Look Pictures	13-Apr-07	2007	4	22851	16	133	5	750000	5520368	First Look
Safety Not Guaranteed	2012	R	17	86	Comedy; Drama; Romance	Colin Trevorrow	Aubrey Plaza; Lauren Carlos; Basil Harris; Mary Lynn Rajskub	Darius is a young intern at a Seattle-based magazine and jumps at the chance to investigate the author of a classified ad seeking someone to travel back in time with Along with Jeff the staff writer and Arnau a fellow intern the three go on a road trip to a coastal town While Jeff just wants to chase after his high school crush and Arnau wants some kind of life experience Darius spends her time with Kenneth a man who believes that he has built a time machine The closer they become and the more they understand about each other the less clear it becomes if Kenneth is just crazy or if he actually is going to successfully travel back in time	English	USA	7 wins & 18 nominations	7	90	72	4007792	FilmDistrict	8-Jun-12	2012	6	2484659	864	8124	325	750000	4010957	FilmDistrict
Fruitvale Station	2013	R	17	85	Biography; Drama; Romance	Ryan Coogler	Michael B. Jordan; Melonie Diaz; Octavia Spencer; Kevin Durand	This is the true story of Oscar a 22-year-old Bay Area resident who wakes up on the morning of December 31 2008 and feels something in the air Not sure what it is he takes it as a sign to get a head start on his resolutions: being a better son to his mother whose birthday falls on New Years Eve being a better partner to his girlfriend who he hasnt been completely honest with as of late and being a better father to T their beautiful 4 year old daughter He starts out well but as the day goes on he realizes that change is not going to come easy He crosses paths with friends family and strangers each exchange showing us that there is much more to Oscar than meets the eye But it would be his final encounter of the day with police officers at the Fruitvale BART station that would shake the Bay Area to its very core and cause the entire nation to be witnesses to the story of Oscar Grant	English; Spanish	USA	39 wins & 53 nominations	7.5	94	85	11010136	The Weinstein Company	12-Jul-13	2013	7	455935	237	1485	47	900000	16101339	Weinstein Company
Meet the Blacks	2016	R	17	94	Comedy; Horror	Deon Taylor	Mike Epps; Gary Owen; Zulay Henao; Bresha Webb	The Black family is getting out of Chicago in hopes of a better life After Carl Black (Mike Epps) comes into some unexpected funds he takes his family and leaves the hustling lifestyle behind for something better Carl his new wife Lorena (Zulay Henao) son Carl Jr daughter Allie Black (Bresha Webb) and cousin Cronut (Lil Duval) pack up and move to Beverly Hills Turns out Carl couldnt have picked a worse time to move They arrive right around the time of the annual purge when all crime is legal for twelve hours	English	USA	N/A	5.7	11	26	N/A	Hidden Empire Film Group	1-Apr-16	2016	4	173783	22	120	15	900000	9097072	Freestyle Releasing
The Brass Teapot	2012	R	17	101	Comedy; Fantasy; Thriller	Ramaa Mosley	Juno Temple; Michael Angarano; Alexis Bledel; Billy Magnussen	Based on the comic book series The Brass Teapot about a mid-twenty-year-old couple who in these difficult economic times finds a mysterious magical brass teapot which makes them money but at a surprising price After realizing the teapots power John and Alice must decide how far they will go to fulfill their dream	English	USA	2 nominations	6.4	33	43	N/A	Magnolia Pictures	5-Apr-13	2013	4	3909691	605	7566	610	900000	6997	Magnolia
Dean	2016	PG-13	13	94	Comedy; Drama; Romance	Demetri Martin	Asif Ali; Jesaiah Baer; Kathrine Barnes; H. Jon Benjamin	A comedy about loss grief and the redemptive power of love Dean is a NY illustrator who falls hard for an LA woman while trying to prevent his father from selling the family home in the wake of his mothers death	English	USA	1 win & 1 nomination	6.3	64	58	248849	CBS Films	2-Jun-17	2017	6	66126	26	195	36	950000	254536	CBS Films
House of Wax	2005	R	17	108	Horror; Mystery; Thriller	Jaume Collet-Serra	Elisha Cuthbert; Chad Michael Murray; Brian Van Holt; Paris Hilton	Six friends are on their way to a football game They decide to camp out for the night and continue driving the next day The next day the friends find that theyre having car troubles so two of the friends accept a strangers ride into a small town named Ambrose The main attraction in Ambrose is the House of Wax Except something is not right in this town the wax figures are so realistic and the whole town is deserted - except for two murderous twin brothers The six friends must fight to survive and escape from being the next exhibits in the House of Wax	English	Australia; USA	5 wins & 11 nominations	5.3	25	41	32000000	Warner Bros. Pictures	6-May-05	2005	5	1905174	790	2201	170	1000000	23750000	Warner Bros.
Blue Valentine	2010	R	17	112	Drama; Romance	Derek Cianfrance	Ryan Gosling; Michelle Williams; Faith Wladyka; John Doman	Dean Pereira and Cindy Heller Pereira are a young working class married couple - Dean currently working as a painter and Cindy working as a nurse in a medical clinic - with a young daughter named Frankie Despite their relatively tender ages they are both ravaged by the life theyve eked out together and by the experiences theyve had leading into their marriage Dean a high school drop out comes from a broken home where he never really had a mother figure He never saw himself getting married or having a family despite falling in love at first sight with Cindy He doesnt have any professional ambition beyond his current work - which he enjoys since he feels he can knock off a beer at 8 oclock in the morning without it affecting his work - although Cindy believes he has so much more potential in life Cindy also comes from a dysfunctional family with her own mother and father not setting an example of a harmonious married or family life One of her previous serious relationships was with Bobby Ontario that relationship which has a profound affect on many aspects of her marriage to Dean Dean and Cindy head off on an overnight getaway together without Frankie the getaway which may provide a clearer picture if their marriage can survive its many issues	English	USA	Nominated for 1 Oscar Another 9 wins & 52 nominations	7.4	87	81	9600000	The Weinstein Company	29-Dec-10	2010	12	5077496	1308	10283	356	1000000	9706328	Weinstein Company
The Devil Inside	2012	R	17	83	Horror	William Brent Bell	Fernanda Andrade; Simon Quarterman; Evan Helmuth; Ionut Grama	An American girl Isabella sets out to make a documentary to understand what happened to her mother who murdered three clergy people She was not convicted due to insanity and was sent to a mental hospital in Italy Isabella meets with some priests in Italy who explain that her mothers condition may not be medical but could be an extra-human possession	English; Italian	USA; Italy; Mexico; Romania	2 wins & 3 nominations	4.2	6	18	53245055	Paramount Pictures	6-Jan-12	2012	1	55819	14	72	5	1000000	53261944	Paramount
Camp X-Ray	2014	R	17	117	Drama; War	Peter Sattler	Nawal Bengholam; Payman Maadi; Lane Garrison; Joseph Julian Soria	A young soldier escapes her suffocating small town by joining the military only to find that she isnt going for a tour of duty in Iraq as she hoped Instead shes sent to Guantanamo Met with hatred and abuse from the men in her charge she forges an odd friendship with a young man who has been imprisoned at Gitmo for eight years	English	USA	6 nominations	6.9	75	54	9837	IFC Films	17-Oct-14	2014	10	7194600	5691	24375	3488	1000000	13302	IFC
Unfriended	2014	R	17	83	Drama; Horror; Mystery	Levan Gabriadze	Heather Sossaman; Matthew Bohrer; Courtney Halverson; Shelley Hennig	While video chatting one night six high school friends receive a Skype message from a classmate who killed herself exactly one year ago At first they think its a prank but when the girl starts revealing the friends darkest secrets they realize they are dealing with something out of this world something that wants them dead	English	USA	3 wins & 6 nominations	5.6	63	59	31354666	Universal Pictures	17-Apr-15	2015	4	316051	130	674	37	1000000	32482090	Universal
An Inconvenient Sequel: Truth to Power	2017	PG	7	98	Documentary	Bonni Cohen; Jon Shenk	Al Gore; George W. Bush; John Kerry; Marco Krapels	A sequel to The Inconvenient Truth the follow-up documentary addresses the progress made to tackle the problem of climate change and Al Gores global efforts to persuade governmental leaders to invest in renewable energy culminating in the landmark signing of 2016s Paris Climate Agreement	English; French; Russian; German; Mandarin	USA	Nominated for 1 BAFTA Film Award Another 3 wins & 11 nominations	6.1	80	68	3456144	Paramount Pictures	28-Jul-17	2017	7	2776216	4087	15777	2084	1000000	3496795	Paramount
Food, Inc.	2008	PG	7	94	Documentary	Robert Kenner	Eric Schlosser; Richard Lobb; Vince Edwards; Carole Morison	The current method of raw food production is largely a response to the growth of the fast food industry since the 1950s The production of food overall has more drastically changed since that time than the several thousand years prior Controlled primarily by a handful of multinational corporations the global food production business - with an emphasis on the business - has as its unwritten goals production of large quantities of food at low direct inputs (most often subsidized) resulting in enormous profits which in turn results in greater control of the global supply of food sources within these few companies Health and safety (of the food itself of the animals produced themselves of the workers on the assembly lines and of the consumers actually eating the food) are often overlooked by the companies and are often overlooked by government in an effort to provide cheap food regardless of these negative consequences Many of the changes are based on advancements in science and technology but often have negative side effectsThe products made have been shown in several studies to enlarge male sexual organs and increase male breast size The answer that the companies have come up with is to throw more science at the problems to bandage the issues but not the root causes The global food supply may be in crisis with lack of biodiversity but can be changed on the demand side of the equation	English	USA	Nominated for 1 Oscar Another 7 wins & 19 nominations	7.8	95	80	4238694	Magnolia Pictures	12-Jun-09	2009	6	145715	96	309	22	1000000	4417674	Magnolia
Frozen River	2008	R	17	97	Crime; Drama	Courtney Hunt	Melissa Leo; Misty Upham; Charlie McDermott; Michael O'Keefe	Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec Here the lure of fast money from smuggling presents a daily challenge to single moms who would otherwise be earning minimum wage Two women - one white one Mohawk both single mothers faced with desperate circumstances - are drawn into the world of border smuggling across the frozen water of the St Lawrence River Ray and Lila - and a New York State Trooper as opponent in an evolving cat-and-mouse game	English; French; Chinese; Urdu	USA	Nominated for 2 Oscars Another 32 wins & 37 nominations	7.2	88	82	2061019	Sony Pictures Classics	1-Aug-08	2008	8	58543	2	37	18	1000000	2511476	Sony Classics
I Origins	2014	R	17	106	Drama; Romance; Sci-Fi	Mike Cahill	Michael Pitt; Steven Yeun; Astrid Bergès-Frisbey; Brit Marling	I Origins begins when graduate student Ian Gray is researching the evolution of human eyes with Karen and Kenny in order to prove that eyes have evolved instead of appeared as creationists claim His fascination with eyes takes him into areas that have profound personal and cultural consequences	English; Hindi	USA	2 wins & 3 nominations	7.4	52	57	N/A	Fox Searchlight Pictures	18-Jul-14	2014	7	3010425	1301	7678	645	1000000	336472	Fox Searchlight
Martha Marcy May Marlene	2011	R	17	102	Drama; Mystery; Thriller	Sean Durkin	Elizabeth Olsen; Christopher Abbott; Brady Corbet; Hugh Dancy	Martha has run away from an abusive hippie-like cult where she was living as Marcy May for two years She turns to her sister and brother-in-law who take her in and want to help her The problem is Martha is having a hard time separating dreams from reality and when haunting memories of her past keep resurfacing she may need more help than anyone is able to give her	English	USA	22 wins & 70 nominations	6.9	90	75	2981038	Fox Searchlight Pictures	21-Oct-11	2011	10	1229303	346	2136	89	1000000	2990625	Fox Searchlight
Obvious Child	2014	R	17	84	Comedy; Drama; Romance	Gillian Robespierre	Jenny Slate; Paul Briganti; Gaby Hoffmann; Stephen Singer	For aspiring comedian Donna Stern everyday life as a female twenty-something provides ample material for her relatable brand of humor On stage Donna is unapologetically herself joking about topics as intimate as her sex life and as crude as her day-old underwear But when Donna winds up unexpectedly pregnant after a one-night stand she is forced to face the uncomfortable realities of independent womanhood for the first time Donnas drunken hookup - and epic lapse in prophylactic judgment - turns out to be the beginning of an unplanned journey of self-discovery and empowerment	English	USA	10 wins & 29 nominations	6.8	90	76	N/A	A24 Films	6-Jun-14	2014	6	16458	14	21	11	1000000	3123963	A24
Patti Cake$	2017	R	17	109	Drama; Music	Geremy Jasper	Danielle Macdonald; Bridget Everett; Siddharth Dhananjay; Mamoudou Athie	PATTI CAKE$ is centered on aspiring rapper Patricia Dombrowski aka Killa P aka Patti Cake$ who is fighting an unlikely quest for glory in her downtrodden hometown in New Jersey	English	USA	7 wins & 10 nominations	6.5	81	67	794817	Fox Searchlight Pictures	18-Aug-17	2017	8	5647933	634	2563	450	1000000	800148	Fox Searchlight
The Invitation	2015	NOT RATED	17	100	Drama; Mystery; Thriller	Karyn Kusama	Logan Marshall-Green; Tammy Blanchard; Emayatzy Corinealdi; Aiden Lovekamp	Will and Eden were once a loving couple After a tragedy took their son Eden disappeared Two years later out of the blue she returns with a new husband and as a different person eerily changed and eager to reunite with her ex and those she left behind Over the course of a dinner party in the house that was once his the haunted Will is gripped by mounting evidence that Eden and her new friends have a mysterious and terrifying agenda But can we trust Wills hold on reality? Or will he be the unwitting catalyst of the doom he senses?	English	USA	4 wins & 14 nominations	6.7	88	74	231703	Drafthouse Films	8-Apr-16	2016	4	361284	75	303	38	1000000	231737	Drafthouse
The Perfect Host	2010	R	17	93	Comedy; Crime; Thriller	Nick Tomnay	David Hyde Pierce; Clayne Crawford; Tyrees Allen; Cooper Barnes	Injured after committing a bank robbery John Taylor is desperate to find a place to hide out and approaches the home of Warick Wilson John manages to get himself invited into the house by posing as a friend of a friend and spinning a sob story of lost luggage and a violent mugging Inside Warick a consummate host is making the final preparations for an impeccable dinner party He insists John stay for the party but as the evening begins it becomes obvious Warick may not be what he first appears	English	USA	2 wins	6.8	45	48	48289	Magnolia Pictures	1-Jul-11	2011	7	589508	380	1106	114	1000000	48764	Magnolia
